FirstName Surname Final
-----------------------------
Vardas100 Pavarde100 6.69333
Vardas1001 Pavarde1001 6.66667
Vardas1003 Pavarde1003 7.64
Vardas1004 Pavarde1004 6.57333
Vardas1005 Pavarde1005 6.52
Vardas1007 Pavarde1007 6.65333
Vardas1008 Pavarde1008 7.8
Vardas1010 Pavarde1010 7.22667
Vardas1012 Pavarde1012 7.61333
Vardas1014 Pavarde1014 7.61333
Vardas1016 Pavarde1016 7.04
Vardas1018 Pavarde1018 6.62667
Vardas102 Pavarde102 5.30667
Vardas1021 Pavarde1021 7.50667
Vardas1022 Pavarde1022 5.54667
Vardas1023 Pavarde1023 6.10667
Vardas1024 Pavarde1024 6.41333
Vardas1025 Pavarde1025 6.05333
Vardas1026 Pavarde1026 6.90667
Vardas1027 Pavarde1027 5.33333
Vardas1029 Pavarde1029 7.69333
Vardas103 Pavarde103 5.94667
Vardas1031 Pavarde1031 8.36
Vardas1033 Pavarde1033 6.52
Vardas1034 Pavarde1034 5.44
Vardas1036 Pavarde1036 6.49333
Vardas1038 Pavarde1038 6.32
Vardas104 Pavarde104 8.21333
Vardas1040 Pavarde1040 6.36
Vardas1041 Pavarde1041 7.48
Vardas1044 Pavarde1044 6.72
Vardas1045 Pavarde1045 6
Vardas1046 Pavarde1046 7.61333
Vardas1047 Pavarde1047 5.66667
Vardas1049 Pavarde1049 7.72
Vardas1050 Pavarde1050 6.62667
Vardas1051 Pavarde1051 5.76
Vardas1055 Pavarde1055 6.28
Vardas1058 Pavarde1058 6.89333
Vardas1059 Pavarde1059 5.62667
Vardas106 Pavarde106 5.96
Vardas1060 Pavarde1060 6.18667
Vardas1061 Pavarde1061 5.78667
Vardas1066 Pavarde1066 6.52
Vardas1067 Pavarde1067 8.64
Vardas1068 Pavarde1068 6.28
Vardas1069 Pavarde1069 7.61333
Vardas1070 Pavarde1070 6.62667
Vardas1073 Pavarde1073 8.61333
Vardas1075 Pavarde1075 6.62667
Vardas1078 Pavarde1078 6.33333
Vardas108 Pavarde108 5.32
Vardas1080 Pavarde1080 5.84
Vardas1083 Pavarde1083 5.56
Vardas1084 Pavarde1084 5.56
Vardas1085 Pavarde1085 7.28
Vardas1086 Pavarde1086 5.85333
Vardas1087 Pavarde1087 5.56
Vardas109 Pavarde109 5.96
Vardas1093 Pavarde1093 5.37333
Vardas1095 Pavarde1095 8.02667
Vardas1096 Pavarde1096 5.65333
Vardas1097 Pavarde1097 6.24
Vardas1098 Pavarde1098 7.10667
Vardas1099 Pavarde1099 5.21333
Vardas110 Pavarde110 7
Vardas1100 Pavarde1100 6.08
Vardas1102 Pavarde1102 8.77333
Vardas1103 Pavarde1103 8
Vardas1104 Pavarde1104 8.29333
Vardas1105 Pavarde1105 6.76
Vardas1106 Pavarde1106 6.98667
Vardas1107 Pavarde1107 6.18667
Vardas1108 Pavarde1108 5.65333
Vardas1109 Pavarde1109 8.50667
Vardas1111 Pavarde1111 6.26667
Vardas1114 Pavarde1114 7.98667
Vardas1115 Pavarde1115 7.86667
Vardas1116 Pavarde1116 5.65333
Vardas112 Pavarde112 8.01333
Vardas1121 Pavarde1121 6.44
Vardas1123 Pavarde1123 5.36
Vardas1124 Pavarde1124 6.74667
Vardas1125 Pavarde1125 6.96
Vardas1126 Pavarde1126 7.30667
Vardas113 Pavarde113 8.16
Vardas1133 Pavarde1133 7.56
Vardas1134 Pavarde1134 7.38667
Vardas1135 Pavarde1135 7.86667
Vardas1136 Pavarde1136 6.18667
